OWP_BIN,RMK,TSE2_FR,Qty
32.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,1
32.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,6
32.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,7
32.5,GC5_PHO_3bin_BadBay_AFWK26,0.0,2
32.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,2
32.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,5
32.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,12
33.0,GC5_PHO_3bin_BadBay_AFWK26,0.0,1
33.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,4
33.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,2
33.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,18
33.5,GC5_PHO_3bin_BadBay_AFWK26,0.0,1
33.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,6
33.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,6
33.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,11
34.0,GC5_PHO_3bin_BadBay_AFWK26,0.0,3
34.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,10
34.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,3
34.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,14
34.5,GC5_PHO_3bin_BadBay_AFWK26,0.0,2
34.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,7
34.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,4
34.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,19
35.0,GC5_PHO_3bin_BadBay_AFWK26,0.0,2
35.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,12
35.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,8
35.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,11
35.5,GC5_PHO_3bin_BadBay_AFWK26,0.0,2
35.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,7
35.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,2
35.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,10
36.0,GC5_PHO_3bin_BadBay_AFWK26,0.0,1
36.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,2
36.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,5
36.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,10
36.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,4
36.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,10
37.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,1
37.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,3
37.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,4
37.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,2
37.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,2
37.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,3
38.0,GC5_PHO_3bin_BadBay_AFWK26,0.0,2
38.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,1
38.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,1
38.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,6
38.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,3
38.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,6
39.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,2
40.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,1
40.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,1
41.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,1
41.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,2
42.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,2
